City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,saint-joseph,-21.3667,55.6167,21.37,85,32,0.58,RE,1697415789
216,kristiansund,63.1115,7.732,6.36,70,75,8.23,NO,1697415789
217,sola,-13.8833,167.55,26.23,84,99,6.99,VU,1697415789
218,greymouth,-42.4667,171.2,11.18,82,95,6.18,NZ,1697415790
219,new norfolk,-42.7826,147.0587,13.72,49,44,3.99,AU,1697415790
220,muzaffarpur,26.1167,85.4,22.86,80,60,2.53,IN,1697415790
221,santo antonio,-6.3106,-35.4789,23.1,81,95,5.99,BR,1697415790
222,williamson,30.6502,-97.6003,20.95,39,0,3.6,US,1697415613
223,bena,11.2844,5.9347,23.16,69,45,1.85,NG,1697415792
224,kassel,51.3167,9.5,4.45,93,6,2.06,DE,1697415744
225,arvayheer,46.2639,102.775,5.28,41,75,3.94,MN,1697415792
226,fort bragg,35.139,-79.006,14.85,73,100,1.54,US,1697415793
227,utrik,11.2278,169.8474,28.25,76,60,5.45,MH,1697415793
228,thunder bay,48.4001,-89.3168,8.99,71,100,3.6,CA,1697415793
229,kinablangan,7.6947,126.5503,28.44,71,74,0.57,PH,1697415793
230,ancud,-41.8697,-73.8203,7.87,87,33,2.6,CL,1697415794
231,bamboo flat,11.7,92.7167,25.05,100,40,1.03,IN,1697415794
232,cannonvale,-20.2833,148.7,25.66,61,30,2.71,AU,1697415794
233,stettler,52.3168,-112.7186,15.86,39,39,3.09,CA,1697415794
234,turpan,42.9333,89.1667,14.44,39,8,1.75,CN,1697415795
235,verkhnevilyuysk,63.4453,120.3167,-7.25,81,100,2.68,RU,1697415795
236,harper,4.375,-7.7169,24.67,90,100,3.14,LR,1697415795
237,tekkali,18.6167,84.2333,23.15,77,8,2.02,IN,1697415796
238,rusape,-18.5278,32.1284,16.92,90,100,2.36,ZW,1697415796
239,zarghun shahr,32.8473,68.4457,6.93,79,4,2.03,AF,1697415796
240,saint-pierre,-21.3393,55.4781,21.98,73,75,2.06,RE,1697415796
